,Required-1,Required-2,Required-3,Optional
E19,https://leetcode.com/problems/group-anagrams/description/,https://leetcode.com/problems/minimum-size-subarray-sum/description/,https://leetcode.com/problems/132-pattern/description/,
E20,https://leetcode.com/problems/single-number/description/,https://leetcode.com/problems/course-schedule-ii/description/,https://leetcode.com/problems/single-number-iii/description/,
E21,https://leetcode.com/problems/4sum-ii/description/,https://leetcode.com/problems/01-matrix/description/,https://leetcode.com/problems/add-two-numbers-ii/description/,
E22,https://leetcode.com/problems/peeking-iterator/description/,https://leetcode.com/problems/group-shifted-strings/description/,https://leetcode.com/problems/reverse-vowels-of-a-string/description/,https://leetcode.com/problems/flatten-nested-list-iterator/description/
E23,https://leetcode.com/problems/balanced-binary-tree/description/,https://leetcode.com/problems/dungeon-game/description/,https://leetcode.com/problems/bulb-switcher/description/,
E24,https://leetcode.com/problems/redundant-connection/description/,https://leetcode.com/problems/cracking-the-safe/description/,https://leetcode.com/problems/roman-to-integer/description/,
E25,https://leetcode.com/problems/candy/description/,https://leetcode.com/problems/nth-digit/description/,https://leetcode.com/problems/predict-the-winner/description/,
E26,https://leetcode.com/problems/partition-equal-subset-sum/description/,https://leetcode.com/problems/hamming-distance/description/,https://leetcode.com/problems/wiggle-sort/description/,
E27,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,https://leetcode.com/problems/encode-and-decode-tinyurl/description/,https://leetcode.com/problems/judge-route-circle/description/,
E28,https://leetcode.com/problems/climbing-stairs/description/,https://leetcode.com/problems/heaters/description/,https://leetcode.com/problems/zuma-game/description/,
E29,https://leetcode.com/problems/decode-ways/description/,https://leetcode.com/problems/unique-binary-search-trees-ii/description/,https://leetcode.com/problems/unique-binary-search-trees/description/,
E30,https://leetcode.com/problems/h-index/description/,https://leetcode.com/problems/additive-number/description/,https://leetcode.com/problems/house-robber-iii/description/,
E31,https://leetcode.com/problems/find-bottom-left-tree-value/description/,https://leetcode.com/problems/permutation-in-string/description/,https://leetcode.com/problems/remove-element/description/,
E32,https://leetcode.com/problems/integer-to-roman/description/,https://leetcode.com/problems/excel-sheet-column-number/description/,https://leetcode.com/problems/count-primes/description/,https://leetcode.com/problems/integer-to-english-words/description/
E33,https://leetcode.com/problems/3sum-closest/description/,https://leetcode.com/problems/different-ways-to-add-parentheses/description/,https://leetcode.com/problemset/all/?search=283,
E34,https://leetcode.com/problems/add-binary/description/,https://leetcode.com/problems/maximal-rectangle/description/,https://leetcode.com/problems/find-the-difference/description/,
E35,https://leetcode.com/problems/russian-doll-envelopes/description/,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/description/,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description/,
E36,https://leetcode.com/problems/single-element-in-a-sorted-array/description/,https://leetcode.com/problems/asteroid-collision/description/,https://leetcode.com/problems/basic-calculator/description/,
E37,https://leetcode.com/problems/diagonal-traverse/description/,https://leetcode.com/problems/continuous-subarray-sum/description/,https://leetcode.com/problems/next-greater-element-iii/description/,
E38,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/,https://leetcode.com/problems/construct-string-from-binary-tree/description/,https://leetcode.com/problems/construct-binary-tree-from-string/description/
E39,https://leetcode.com/problems/evaluate-division/description/,https://leetcode.com/problems/evaluate-reverse-polish-notation/description/,https://leetcode.com/problems/guess-number-higher-or-lower/description/,
E40,https://leetcode.com/problems/beautiful-arrangement/description/,https://leetcode.com/problems/container-with-most-water/description/,https://leetcode.com/problems/contains-duplicate/description/,
E41,https://leetcode.com/problems/symmetric-tree/description/,https://leetcode.com/problems/poor-pigs/description/,https://leetcode.com/problems/repeated-substring-pattern/description/,
E42,https://leetcode.com/problems/missing-number/description/,https://leetcode.com/problems/implement-trie-prefix-tree/description/,https://leetcode.com/problems/palindromic-substrings/description/,
E43,https://leetcode.com/problems/design-circular-queue/description/,https://leetcode.com/problems/exclusive-time-of-functions/description/,https://leetcode.com/problems/maximum-swap/description/,
E44,https://leetcode.com/problems/palindrome-pairs/description/,https://leetcode.com/problems/increasing-subsequences/description/,https://leetcode.com/problems/valid-palindrome-ii/description/,
E45,https://leetcode.com/problems/copy-list-with-random-pointer/description/,https://leetcode.com/problems/convert-bst-to-greater-tree/description/,https://leetcode.com/problems/count-binary-substrings/description/,
E46,https://leetcode.com/problems/valid-palindrome/description/,https://leetcode.com/problems/divide-two-integers/description/,https://leetcode.com/problems/reorder-list/description/,
E47,https://leetcode.com/problems/minimum-window-substring/description/,https://leetcode.com/problems/intersection-of-two-arrays/description/,https://leetcode.com/problems/flood-fill/description/,
E48,https://leetcode.com/problems/maximum-subarray/description/,https://leetcode.com/problems/top-k-frequent-words/description/,https://leetcode.com/problems/accounts-merge/description/,
E49,https://leetcode.com/problems/count-and-say/description/,https://leetcode.com/problems/lru-cache/description/,https://leetcode.com/problems/diameter-of-binary-tree/description/,
E50,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,https://leetcode.com/problems/is-graph-bipartite/description/,https://leetcode.com/problems/friends-of-appropriate-ages/description/,
E51,https://leetcode.com/problems/zigzag-conversion/description/,https://leetcode.com/problems/minimum-genetic-mutation/description/,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/description/,
E52,https://leetcode.com/problems/lfu-cache/description/,https://leetcode.com/problems/reverse-linked-list/description/,https://leetcode.com/problems/merge-sorted-array/description/,
E53,https://leetcode.com/problems/add-strings/description/,https://leetcode.com/problems/add-two-numbers/description/,https://leetcode.com/problems/valid-number/,
E54,https://leetcode.com/problems/valid-parentheses/description/,https://leetcode.com/problems/generate-parentheses/description/,https://leetcode.com/problems/remove-invalid-parentheses/description/,
E55,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/description/,
E56,https://leetcode.com/problems/perfect-squares/description/,https://leetcode.com/problems/perfect-squares/description/,https://leetcode.com/problems/trapping-rain-water-ii/description/,
E57,https://leetcode.com/problems/maximum-binary-tree/,https://leetcode.com/problems/excel-sheet-column-number/description/,https://leetcode.com/problems/count-different-palindromic-subsequences/description/,
E58,https://leetcode.com/problems/edit-distance/description/,,,
E59,https://leetcode.com/problems/count-different-palindromic-subsequences/description/,,,
